2018-10-18 01:09:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 41,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 42,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 43,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 44,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 45,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 46,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 47,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 48,20; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 48,21; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 48,22; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 48,23; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 48,24; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 48,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 47,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 46,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 45,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:54 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 44,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 43,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 42,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 41,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 40,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 39,25; Key:    [1]; Health:  85.0; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 38,25; Key:    [1]; Health:  86.3; Tile: TRAP(health)
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 38,26; Key:    [1]; Health:  87.5; Tile: TRAP(health)
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 39,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 40,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 41,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 42,26; Key:    [1]; Health:  87.5; Tile: ROAD
